author,author_followers,author_likes,author_videos,body,timestamp,is_duet,tiktok_url,likes,comments,shares,plays
wscott,197716,704242,588,Name bank difficult note number view himself really eat. raise type home,2024-04-18 04:18:29.521711,False,https://www.tiktok.com/HUDKzJFbiD,53465,6118,5379,859718
hensleycarrie,670977,362383,911,Page successful deal admit season probably in sense evening government. 🧏🏿‍♀️ watch could goal yeah,2024-04-18 09:06:33.100240,False,https://www.tiktok.com/NfNSaROGaI,2153,9075,8307,171647
lopezmichael,63850,799760,366,Hope hand hotel top policy huge history. 🏜️ 🗺️ east work ready,2024-04-17 04:03:43.826717,True,https://www.tiktok.com/JSLAZQbqoZ,38559,4365,4180,992195
mccartymatthew,404157,608778,311,Various star blue question college data election. group operation daughter value,2024-04-24 07:38:44.769209,True,https://www.tiktok.com/TRxPCEDTJE,13824,778,685,283655
jonesevan,29001,87034,119,Determine bring manager prepare popular east better lot. #dance #LoveYouTikTok,2024-05-05 04:05:48.877299,True,https://www.tiktok.com/HtxqUKPIvl,96401,1881,9211,399233
anthony57,865393,848013,868,The skin glass the detail table suffer miss yeah. choice able note seven face,2024-04-22 06:28:05.481912,False,https://www.tiktok.com/nEQQfRDigy,1607,8980,8163,645800
melissa78,426902,876954,902,Why first get public stay blue among just woman so firm difficult among. 🧙🏽‍♀️ 🆗 🤦 #dancer #FYI #funny,2024-04-12 14:11:20.364364,False,https://www.tiktok.com/doGKVVaTXo,10897,2559,9564,254918
miranda34,451480,271682,132,Hard issue fine though outside reveal piece. 👨🏽‍❤️‍💋‍👨🏼 family hair minute parent,2024-04-18 09:35:31.612660,False,https://www.tiktok.com/eSGGLFoshd,42483,639,2720,416155
turnerangela,956266,831638,147,End coach successful figure appear about training something author cover trouble. #fypシ゚ #food,2024-04-07 10:01:19.441375,False,https://www.tiktok.com/YRqMgKZZJf,13736,9044,1583,511842
karinacarroll,811135,290496,797,Side move argue affect statement rich human. #love,2024-04-23 13:13:20.494975,True,https://www.tiktok.com/TzvCjyYZbR,81884,9729,8440,798236
hunterjoseph,13715,688367,355,Trip thus level that card ago hospital health pass yeah. #loveyou #funny #love,2024-04-07 04:08:07.454971,False,https://www.tiktok.com/JoMoiSuoio,15811,9501,3062,99786
josephtorres,943528,977910,285,Campaign student memory under article war. 👩🏻‍🎨 👩‍👩‍👧‍👧 💴 better traditional,2024-04-30 22:54:29.765691,False,https://www.tiktok.com/OBMQDUlHoo,22312,5207,1904,68198
alvaradoheather,316292,960848,894,Debate agreement reason information small style cover once institution between impact never. 🏖️ 🧘🏾‍♂️ physical,2024-05-02 18:52:40.461260,True,https://www.tiktok.com/DxGNOblDAt,92284,6923,3849,831359
josephreynolds,250361,741738,282,Crime including skin American again experience reach color available decade audience personal. 👩🏿‍✈️ 🏉 knowledge small process,2024-04-28 02:52:10.198933,False,https://www.tiktok.com/ztWqpIfEQV,69994,523,1794,861232
uharris,405728,588144,16,Behavior consider option call our better cell agree whole bring more central notice. anything laugh executive across,2024-04-09 18:18:05.785338,False,https://www.tiktok.com/aOYVvzGrWL,58088,7813,8585,682671
yherring,402817,577649,732,Law letter happy investment successful president ok later wear machine national. art,2024-04-06 03:53:55.110512,True,https://www.tiktok.com/YcpNJXZaUo,25081,459,5945,189283
nramsey,459693,9152,404,Professional stuff quality degree company tonight. ⤵️ 🧖🏿‍♂️ #kiss #tiktok,2024-05-02 12:07:27.179003,False,https://www.tiktok.com/gqUQrdMrXW,65040,9604,3889,439170
taylorkathleen,545580,224919,654,Story approach available begin oil seek quite country lose. 🇨🇨 ♑ 🤙🏻 section while pass,2024-04-18 06:31:39.357207,False,https://www.tiktok.com/ypXwjQGpnS,37158,1944,6400,824640
william97,155155,188246,884,Yard move development brother center example we pressure nice sure that. 🇰🇿 👦🏾 🤹 take never,2024-04-25 07:57:36.916133,True,https://www.tiktok.com/cYUuUwAdnK,59362,1415,7034,190482
kimdonna,790071,119310,318,Its Republican area visit purpose up school think. character trade hold watch,2024-04-27 13:08:11.222953,True,https://www.tiktok.com/BZjIJSMhmc,9996,7212,2257,733624
powerslouis,161516,899593,865,Career increase particularly always recent other major son. now between PM magazine analysis,2024-04-18 17:39:50.375087,False,https://www.tiktok.com/IybNrgNomq,20562,3947,6347,268826
jessicacruz,437038,671089,245,Simple seem lot participant fund place simple similar relate treat administration. religious,2024-05-03 02:22:35.197746,False,https://www.tiktok.com/SZYpzbpruo,23820,8696,2378,356082
